id,name,age,roll
1001,Aashi,19,33
1002,Keya,51,58
1003,Gaurav,56,5
1004,Tanish,59,96
1005,Amrita,18,37
1006,Jatin,39,92
1007,Samarth,27,74
1008,Oni,48,51
1009,Yashodhara,21,39
1010,Ekantika,28,99
1011,Hredhaan,49,36
1012,Lajita,51,68
1013,Tristan,18,15
1014,Mitesh,44,58
1015,Prisha,20,94
1016,Faras,40,1
1017,Yashawini,40,18
1018,Amol,56,43
1019,Jagvi,24,25
1020,Nirja,25,94
1021,Yoshita,29,55
1022,Faraj,20,50
1023,Bhavya,58,15
1024,Widisha,26,67
1025,Yashasvi,40,79
1026,Mitali,56,33
1027,Vivaan,31,51
1028,Devansh,19,55
1029,Idika,37,20
1030,Veda,43,55
1031,Mitesh,59,35
1032,Ishani,59,74
1033,Hritik,44,45
1034,Triveni,22,43
1035,Chakradev,45,54
1036,Siya,42,27
1037,Chakradhar,26,44
1038,Simon,26,12
1039,Mohini,27,45
1040,Krish,34,11
1041,Alka,57,33
1042,Aarnav,31,54
1043,Sathvik,24,77
1044,Dhruv,40,94
1045,Ekani,40,41
1046,Caleb,29,19
1047,Nathan,22,68
1048,Anusha,57,19
1049,Falguni,30,33
1050,Jonathan,40,52
1051,Chanakya,28,18
1052,Rayaan,19,52
1053,Vaishnavi,24,97
1054,Ekapad,24,71
1055,Rudra,25,95
1056,Ojasvi,34,26
1057,Reva,36,36
1058,Charan,25,83
1059,Ojas,21,69
1060,Kamya,42,72
1061,Darika,50,43
1062,Meera,39,37
1063,Dev,60,61
1064,Warda,45,22
1065,Chakradev,39,48
1066,Maya,18,84
1067,Faris,54,10
1068,Saumya,21,98
1069,Daksh,41,22
1070,Onveer,58,6
1071,Nidhi,18,37
1072,Tanay,56,41
1073,Anay,59,22
1074,Chakradev,41,41
1075,Wriddhish,56,47
1076,Ekavir,40,79
1077,Rudra,25,90
1078,Kabir,54,30
1079,Chaman,52,51
1080,Rudra,58,78
1081,Reyansh,35,34
1082,Sanya,25,57
1083,Rayaan,18,23
1084,Tejas,32,10
1085,Rachit,18,53
1086,Advika,49,76
1087,Christopher,18,32
1088,Chameli,46,42
1089,Krishna,38,60
1090,Zehaan,54,18
1091,Hemal,50,32
1092,Waida,28,3
1093,Champak,23,94
1094,Mitesh,51,12
1095,Adya,41,94
1096,Ucchal,30,29
1097,Pooja,34,45
1098,Vedant,60,58
1099,Amara,57,8
1100,Qarin,43,53
1101,Bhanumati,60,17
1102,Laban,48,26
